TAIRID	A.thalianaGermany	A.thalianaEastSpain	A.thalianaWestSpain	A.thalianaRussia	A.thalianaCzech	TISSUE
AT1G80870	-0.07143	-0.07143	-0.24359	-0.06311	-0.07143	embryo.all
AT5G20890	0.08201	0.08201	-0.38333	-0.38525	0.07963	embryo.all
AT3G10530	-0.13077	-0.03077	-0.03077	-0.11698	-0.22222	embryo.all
AT4G29030	-0.11111	-0.27778	-0.11111	-0.11111	0.07843	embryo.all
AT3G07410	-0.04659	-0.13548	-0.16667	-0.14848	-0.03548	embryo.all
AT2G14660	-0.05392	-0.07143	-0.07692	-0.14480	-0.18681	embryo.all
AT2G01290	-0.05769	-0.03571	-0.13462	-0.25000	-0.05769	embryo.all
AT5G56730	0.08333	-0.17857	-0.17857	-0.08591	-0.17857	embryo.all
AT4G33280	-0.08889	-0.11616	-0.16667	0.00000	-0.16667	embryo.all
AT2G23530	-0.07735	-0.06171	-0.06340	-0.16697	-0.17026	embryo.all
AT1G55500	0.05556	0.02924	-0.25263	-0.25263	-0.11930	embryo.all
AT4G11150	-0.20833	-0.20833	0.02381	-0.07500	-0.07500	embryo.all
AT3G61780	-0.25915	-0.00201	-0.15201	-0.06667	-0.06667	embryo.all
AT2G25300	-0.13333	-0.10351	-0.11615	-0.11184	-0.08167	embryo.all
AT3G05690	0.02381	-0.14286	0.02381	-0.30952	-0.14286	embryo.all
AT4G32600	-0.22581	0.02419	-0.05914	-0.23016	-0.05914	embryo.all
AT1G61460	-0.12515	-0.08986	-0.02416	-0.21951	-0.09184	embryo.all
AT1G67660	-0.23585	-0.23585	-0.13585	-0.02156	0.07778	embryo.all
AT5G47070	-0.19231	-0.06731	0.11905	-0.13445	-0.27731	embryo.all
AT5G39980	-0.21062	-0.18205	-0.06494	0.01795	-0.11538	embryo.all
AT5G16720	-0.10368	-0.16522	-0.14496	-0.08512	-0.05714	embryo.all
AT5G41580	-0.03922	-0.18442	-0.14945	-0.12298	-0.06303	embryo.all
AT3G51730	0.08333	-0.28125	-0.28125	0.00000	-0.08333	embryo.all
AT3G51740	-0.07198	-0.01449	0.00413	-0.25525	-0.23203	embryo.all
AT5G11480	-0.00775	-0.21053	-0.15497	-0.18182	-0.01515	embryo.all
AT4G31770	-0.14151	-0.14151	0.03401	0.08163	-0.40385	embryo.all
AT1G69600	-0.16667	-0.16667	0.09483	-0.16667	-0.16667	embryo.all
AT2G36980	-0.05752	-0.16522	-0.23304	-0.06034	-0.05752	embryo.all
AT3G20490	-0.20290	0.14493	-0.20290	-0.02941	-0.28623	embryo.all
AT3G20840	-0.05702	-0.10702	-0.05357	-0.30328	-0.05702	embryo.all
AT2G26710	-0.13636	-0.02922	-0.13636	-0.05556	-0.22222	embryo.all
AT5G14580	-0.20091	-0.28061	0.03412	-0.20091	0.06575	embryo.all
AT5G60200	-0.05217	0.01449	-0.16667	-0.32624	-0.05217	embryo.all
AT3G11640	0.05000	-0.20000	-0.11667	-0.20000	-0.11667	embryo.all
AT4G18230	-0.16667	0.00000	0.01961	-0.45714	0.01961	embryo.all
AT4G29010	-0.07752	-0.02990	-0.24419	-0.24419	0.00581	embryo.all
AT5G15280	-0.08255	-0.20581	-0.11376	-0.24153	0.04457	embryo.all
AT2G27970	-0.10000	-0.10000	-0.10000	-0.15000	-0.15000	embryo.all
AT5G17930	-0.18056	0.10515	-0.16646	-0.26316	-0.09633	embryo.all
AT1G72420	-0.12069	-0.12069	-0.12069	-0.12069	-0.12069	embryo.all
AT5G16750	0.07527	-0.10784	0.05882	-0.27451	-0.35784	embryo.all
AT3G50870	-0.13043	-0.09561	-0.11270	-0.13830	-0.13043	embryo.all
AT1G30600	-0.03333	-0.20000	0.02198	-0.36667	-0.03333	embryo.all
AT3G48890	-0.27679	0.07059	-0.11688	-0.02941	-0.25974	embryo.all
AT4G14510	-0.06164	-0.06081	-0.16081	-0.27211	-0.06081	embryo.all
AT4G21160	-0.20732	-0.20732	-0.04065	0.04268	-0.20732	embryo.all
AT5G45410	-0.04846	-0.12821	-0.03333	-0.30128	-0.11111	embryo.all
AT3G07770	-0.16197	-0.10621	-0.03172	-0.16197	-0.16197	embryo.all
AT1G10230	-0.19167	-0.02500	-0.02500	-0.19167	-0.19167	embryo.all
AT4G08310	-0.23235	0.02381	-0.11310	-0.14902	-0.15504	embryo.all
AT3G45980	-0.13333	-0.10952	-0.10837	-0.10837	-0.16774	embryo.all
AT5G14680	-0.16667	-0.16667	-0.16667	0.01667	-0.15000	embryo.all
AT5G07810	-0.08497	-0.19883	-0.07063	-0.06240	-0.21950	embryo.all
AT3G57090	-0.22727	-0.06061	-0.22727	-0.06061	-0.06061	embryo.all
AT3G47530	-0.12162	-0.22162	-0.25000	0.17838	-0.22162	embryo.all
AT4G14660	-0.16667	-0.16667	-0.16667	0.02381	-0.16667	embryo.all
AT5G61770	-0.17204	-0.12442	-0.08871	-0.08871	-0.17204	embryo.all
AT1G21810	-0.13065	-0.13678	-0.12509	-0.16299	-0.09049	embryo.all
AT4G16210	0.13736	0.06044	-0.33784	-0.17117	-0.33784	embryo.all
AT1G70510	-0.11290	-0.05735	-0.05735	-0.20938	-0.21290	embryo.all
AT4G14150	-0.13739	-0.14717	-0.04777	-0.22151	-0.09651	embryo.all
AT5G03080	-0.29412	0.12500	0.09852	-0.29412	-0.29412	embryo.all
AT3G05070	-0.10000	-0.10000	-0.10000	-0.26667	-0.10000	embryo.all
AT4G00530	-0.16667	-0.16667	-0.16667	0.00000	-0.16667	embryo.all
AT5G15810	-0.19079	-0.23246	-0.12135	-0.05696	-0.06579	embryo.all
AT2G26180	-0.13158	-0.03158	-0.24286	-0.13158	-0.13158	embryo.all
AT4G24660	-0.03788	-0.03788	-0.33810	-0.04444	-0.21111	embryo.all
AT5G02050	-0.28986	0.07143	-0.08152	-0.08152	-0.28986	embryo.all
AT3G15460	-0.12963	-0.12963	-0.12963	-0.32051	0.03704	embryo.all
AT3G42660	-0.17706	-0.07947	-0.10014	-0.12937	-0.18750	embryo.all
AT5G58760	-0.12667	-0.12667	-0.18222	-0.12338	-0.11842	embryo.all
AT2G02360	-0.16667	0.07955	-0.21429	-0.16304	-0.21429	embryo.all
AT4G08150	-0.21118	-0.12500	-0.02273	-0.03261	-0.28723	embryo.all
AT3G02650	-0.29167	-0.15653	-0.12712	0.05023	-0.15653	embryo.all
AT3G58650	-0.23429	0.14667	-0.20430	-0.27000	-0.12000	embryo.all
AT3G16010	0.02171	-0.45000	0.02171	-0.09231	-0.18478	embryo.all
AT3G19440	-0.12381	-0.14135	-0.12082	-0.21981	-0.07928	embryo.all
AT2G03310	-0.30000	0.00431	-0.28736	-0.30000	0.19286	embryo.all
AT5G57290	-0.14706	-0.12500	-0.12500	-0.14706	-0.14706	embryo.all
AT4G02750	-0.05889	-0.23044	-0.14641	-0.02887	-0.22857	embryo.all
AT1G68790	-0.14260	-0.22090	-0.11204	-0.19022	-0.02896	embryo.all
AT5G50370	-0.18519	-0.09615	-0.18519	-0.18519	-0.04615	embryo.all
AT4G21810	-0.08730	-0.03535	-0.20238	-0.28571	-0.08730	embryo.all
AT3G01580	-0.06311	-0.37273	-0.13624	-0.06481	-0.06481	embryo.all
AT1G47670	-0.12821	-0.16296	-0.07029	-0.21364	-0.12963	embryo.all
AT5G51750	-0.10692	-0.10692	-0.11333	-0.27064	-0.10692	embryo.all
AT4G39850	-0.27679	-0.20536	-0.27679	-0.02876	0.08237	embryo.all
AT2G40760	-0.25333	-0.18667	-0.08667	-0.09211	-0.08667	embryo.all
AT3G53700	-0.14667	-0.25575	-0.04410	-0.13409	-0.12912	embryo.all
AT1G80030	-0.14615	-0.05079	-0.31746	-0.14615	-0.05079	embryo.all
AT5G11070	-0.09091	-0.25758	-0.09091	-0.26471	-0.00758	embryo.all
AT3G46210	-0.14286	-0.08225	-0.08225	-0.08225	-0.32609	embryo.all
AT2G37400	-0.36667	0.10000	-0.06667	-0.06667	-0.31667	embryo.all
AT5G09970	-0.13524	-0.20667	-0.07770	-0.19737	-0.10667	embryo.all
AT5G22470	-0.11555	-0.15348	-0.05427	-0.15348	-0.24872	embryo.all
AT3G03060	-0.15432	-0.12791	-0.17336	-0.14286	-0.12791	embryo.all
AT5G25480	-0.17692	-0.17692	-0.18750	-0.01026	-0.17692	embryo.all
AT4G34430	-0.20045	-0.17059	-0.12724	-0.03378	-0.20045	embryo.all
AT3G63080	-0.21875	-0.04301	-0.04301	-0.20968	-0.21875	embryo.all
AT1G71460	0.02833	-0.42544	0.02318	-0.34524	-0.01817	embryo.all
AT5G14750	-0.21429	-0.21429	-0.21429	-0.04762	-0.04762	embryo.all
AT4G23540	-0.01485	-0.18627	-0.11961	-0.23389	-0.18627	embryo.all
AT1G76760	-0.01515	-0.18182	-0.18182	-0.18182	-0.18182	embryo.all
AT3G24495	-0.12209	-0.11850	-0.06294	-0.21850	-0.22209	embryo.all
AT2G28570	-0.18750	-0.18750	-0.18750	-0.10417	-0.07843	embryo.all
AT3G17360	-0.15119	-0.13775	-0.20183	-0.03139	-0.22533	embryo.all
AT3G04820	-0.19355	-0.14674	-0.15188	-0.01579	-0.24117	embryo.all
AT2G34585	-0.15000	-0.15000	-0.15000	-0.15000	-0.15000	embryo.all
AT3G60360	-0.24516	-0.14516	0.06061	-0.30303	-0.11765	embryo.all
AT3G18800	0.00654	0.04072	0.02674	-0.41304	-0.41304	embryo.all
AT3G46940	-0.15417	-0.12500	-0.07843	-0.22222	-0.17255	embryo.all
AT1G16220	-0.29167	-0.03448	0.00515	0.00000	-0.43265	embryo.all
AT4G09830	-0.10256	-0.27778	-0.27778	-0.16000	0.06410	embryo.all
AT1G21690	-0.26000	-0.26000	-0.26000	0.11905	-0.09333	embryo.all
AT1G77130	-0.10078	-0.10345	-0.10345	-0.27011	-0.17778	embryo.all
AT2G42790	-0.10106	-0.10106	-0.10106	-0.35417	-0.10106	embryo.all
AT3G62620	-0.18372	-0.09801	-0.13372	-0.13372	-0.21705	embryo.all
AT2G37380	-0.02736	-0.26190	-0.23593	-0.16000	-0.08409	embryo.all
AT3G24650	-0.03419	-0.10940	0.09661	-0.45339	-0.27228	embryo.all
AT1G56110	-0.02966	-0.19310	-0.19310	-0.16810	-0.19310	embryo.all
AT1G11220	-0.17316	-0.09398	-0.16667	-0.16667	-0.17857	embryo.all
AT1G78430	-0.15603	0.01064	-0.23936	-0.23936	-0.15603	embryo.all
AT2G34710	-0.28481	-0.11538	-0.11538	0.01795	-0.28481	embryo.all
AT5G64230	-0.15932	-0.21667	-0.14237	-0.21667	-0.05000	embryo.all
AT2G33860	-0.14348	-0.14348	-0.21178	-0.14348	-0.14348	embryo.all
AT2G16780	-0.12212	-0.07341	-0.19355	-0.19841	-0.19841	embryo.all
AT3G49240	0.00709	-0.15957	-0.23100	-0.40957	0.00709	embryo.all
AT3G18390	-0.07368	0.08684	-0.26667	-0.26667	-0.26667	embryo.all
AT5G64580	-0.23696	-0.17204	-0.17204	-0.17029	-0.03696	embryo.all
AT1G33390	-0.40035	-0.04321	0.25496	-0.34658	-0.25466	embryo.all
AT3G61860	-0.22727	-0.22727	-0.06061	-0.22727	-0.05208	embryo.all
AT1G19770	-0.05952	-0.20952	-0.20952	-0.00952	-0.30952	embryo.all
AT3G58590	-0.22321	-0.22321	-0.13393	-0.10893	-0.10893	embryo.all
AT5G67260	-0.18810	-0.10317	-0.10317	-0.21667	-0.18810	embryo.all
AT3G02990	-0.11667	-0.04524	-0.23333	-0.36667	-0.03736	embryo.all
AT1G07270	-0.30000	0.08333	-0.22105	-0.16667	-0.19524	embryo.all
AT3G13070	-0.20564	-0.12500	-0.13846	-0.25000	-0.08333	embryo.all
AT1G15570	-0.03641	-0.26667	-0.10000	-0.35000	-0.05229	embryo.all
AT4G26000	-0.35465	-0.10465	-0.20465	0.06202	-0.20465	embryo.all
AT1G55680	-0.12879	-0.12879	-0.12879	-0.29545	-0.12879	embryo.all
AT1G75150	-0.17105	-0.12808	-0.22995	-0.15909	-0.12708	embryo.all
AT5G62550	-0.13211	-0.17853	-0.20263	-0.13846	-0.16417	embryo.all
AT5G11310	-0.15909	-0.01857	-0.08637	-0.36464	-0.19085	embryo.all
AT3G53760	-0.17009	-0.28261	0.03922	-0.12531	-0.28261	embryo.all
AT3G48540	-0.17857	-0.17857	-0.17857	-0.10714	-0.17857	embryo.all
AT5G19020	-0.22745	0.03922	-0.38158	0.03922	-0.29412	embryo.all
AT1G16280	-0.29091	-0.13535	-0.02424	-0.44091	0.06481	embryo.all
AT5G27740	-0.56322	-0.08462	0.00000	-0.01333	-0.16571	embryo.all
AT3G58170	-0.10256	-0.08333	-0.26923	-0.26923	-0.10256	embryo.all
AT5G55220	-0.17014	-0.35851	-0.14643	-0.14958	-0.00242	embryo.all
AT5G16060	-0.16667	-0.16667	-0.16667	-0.16667	-0.16667	embryo.all
AT1G75200	-0.03922	-0.10588	0.05435	-0.36667	-0.37681	embryo.all
AT3G08850	-0.12225	-0.16987	-0.00162	-0.03810	-0.50476	embryo.all
AT3G11500	-0.10000	-0.10000	-0.15000	-0.40000	-0.10000	embryo.all
AT4G07400	-0.09231	-0.18590	-0.08403	-0.20607	-0.28355	embryo.all
AT5G57280	-0.27044	-0.10377	-0.27044	0.14623	-0.35377	embryo.all
AT3G02530	-0.17949	0.01099	-0.09615	-0.34615	-0.24615	embryo.all
AT5G04040	0.10417	-0.28218	-0.11551	-0.28218	-0.28218	embryo.all
AT5G65410	-0.00769	-0.05769	-0.32143	-0.32143	-0.15476	embryo.all
AT3G62910	-0.25610	-0.08943	-0.00610	-0.25610	-0.25610	embryo.all
AT1G07970	-0.07303	-0.23970	-0.23970	-0.07303	-0.23970	embryo.all
AT3G18230	-0.13736	-0.30797	-0.03736	-0.24130	-0.14130	embryo.all
AT5G47690	-0.00303	-0.30303	-0.33943	-0.00303	-0.21732	embryo.all
AT5G67100	-0.26087	-0.09048	-0.09420	-0.16366	-0.25714	embryo.all
AT3G56100	-0.37101	-0.19828	0.09309	-0.29231	-0.09828	embryo.all
AT2G46910	-0.15714	-0.32381	-0.32381	-0.15714	0.09286	embryo.all
AT5G02590	-0.12264	-0.04369	-0.28451	-0.19636	-0.22712	embryo.all
AT3G43800	-0.15152	-0.15152	-0.32609	0.07937	-0.32609	embryo.all
AT2G43650	-0.23000	-0.04618	-0.14626	-0.22475	-0.23000	embryo.all
AT4G11240	-0.05000	-0.10417	-0.18440	-0.18750	-0.35417	embryo.all
AT1G09750	-0.09524	-0.07937	-0.01190	-0.43229	-0.26190	embryo.all
AT5G49910	-0.16915	-0.23582	0.02076	-0.16915	-0.33582	embryo.all
AT2G36730	-0.23415	-0.13415	-0.14474	-0.13855	-0.23855	embryo.all
AT3G24160	-0.22807	-0.31140	-0.22807	-0.06140	-0.06140	embryo.all
AT5G18920	-0.21212	-0.21212	-0.21212	-0.04545	-0.21212	embryo.all
AT1G18540	-0.16912	-0.29412	-0.16288	-0.08333	-0.18788	embryo.all
AT2G36400	-0.27642	-0.10976	-0.29167	-0.10976	-0.10976	embryo.all
AT5G54260	-0.17949	-0.17949	-0.17949	-0.07949	-0.27949	embryo.all
AT3G62890	-0.33651	-0.18472	-0.18472	-0.09574	-0.09574	embryo.all
AT5G66780	-0.12963	-0.37963	-0.12963	-0.12963	-0.12963	embryo.all
AT5G11850	-0.09899	-0.09280	-0.19015	-0.32258	-0.19381	embryo.all
AT1G77060	-0.15364	-0.15364	-0.08497	-0.35455	-0.15364	embryo.all
AT3G14330	-0.33084	-0.17647	-0.24314	0.13721	-0.28739	embryo.all
AT1G21710	-0.14706	-0.07563	-0.31373	-0.14706	-0.21849	embryo.all
AT3G14900	-0.22222	-0.39906	-0.00407	-0.22222	-0.05556	embryo.all
AT3G14360	-0.26261	-0.18571	-0.19118	-0.18571	-0.08571	embryo.all
AT3G53950	0.06190	-0.24419	-0.07752	-0.24118	-0.41085	embryo.all
AT5G36950	0.05159	-0.22059	-0.21642	-0.47059	-0.05718	embryo.all
AT2G47990	-0.30278	-0.24921	-0.07778	-0.10635	-0.17778	embryo.all
AT3G27220	-0.27797	-0.17797	-0.17797	-0.01130	-0.27797	embryo.all
AT2G29540	-0.11111	-0.27778	-0.27778	-0.11111	-0.14706	embryo.all
AT1G25520	-0.02506	-0.06190	0.04701	-0.44444	-0.44444	embryo.all
AT3G61830	-0.13636	-0.23636	-0.30303	-0.12687	-0.12687	embryo.all
AT5G28640	-0.01190	-0.01948	-0.01190	-0.44444	-0.44444	embryo.all
AT4G25890	-0.20833	-0.18000	-0.15873	-0.18000	-0.20833	embryo.all
AT1G76310	-0.15385	-0.15385	-0.32051	-0.15385	-0.15385	embryo.all
AT5G23340	-0.12057	-0.12057	-0.28723	-0.28723	-0.12057	embryo.all
AT1G76300	-0.28736	-0.12069	-0.12069	-0.12069	-0.28736	embryo.all
AT5G35560	-0.24444	-0.07778	-0.08046	-0.28990	-0.24444	embryo.all
AT2G44520	-0.10769	-0.20769	-0.37436	-0.20769	-0.04103	embryo.all
AT5G17270	-0.16934	-0.26934	-0.23601	0.10145	-0.36934	embryo.all
AT1G73670	-0.19037	-0.19037	-0.19037	-0.18842	-0.18364	embryo.all
AT3G51670	-0.22340	-0.22340	-0.05072	-0.22340	-0.22340	embryo.all
AT2G36050	-0.23636	-0.11765	-0.23636	-0.11765	-0.23636	embryo.all
AT5G17290	-0.16154	-0.12088	-0.11667	-0.34848	-0.19767	embryo.all
AT5G56460	-0.06967	-0.01667	-0.21967	-0.15301	-0.48634	embryo.all
AT2G15900	-0.29184	-0.18784	-0.26256	-0.21684	0.01216	embryo.all
AT2G13540	-0.18462	-0.25641	-0.13333	-0.30769	-0.06930	embryo.all
AT5G01180	-0.10274	-0.26941	-0.26941	-0.26407	-0.04718	embryo.all
AT3G15680	-0.15217	-0.31884	-0.15217	-0.18182	-0.15217	embryo.all
AT1G27530	-0.11932	-0.13750	-0.13750	-0.44444	-0.11932	embryo.all
AT3G09700	-0.29167	-0.12500	-0.12500	-0.12500	-0.29167	embryo.all
AT1G13410	-0.14580	-0.20943	-0.22818	-0.17610	-0.19909	embryo.all
AT1G48460	-0.33333	0.01361	-0.33333	-0.15306	-0.15306	embryo.all
AT3G13960	-0.09184	-0.25850	-0.09184	-0.25850	-0.25850	embryo.all
AT5G63420	-0.18687	-0.18627	-0.18627	-0.22222	-0.17925	embryo.all
AT5G39900	-0.24426	-0.13871	-0.16410	-0.08333	-0.33582	embryo.all
AT3G01160	-0.29593	-0.15860	-0.05504	-0.29593	-0.16260	embryo.all
AT5G10960	-0.29762	-0.16296	-0.12963	-0.21429	-0.16429	embryo.all
AT5G66090	-0.33824	-0.02857	-0.33824	-0.08824	-0.18000	embryo.all
AT2G29460	0.02151	-0.39516	-0.14516	-0.31183	-0.14516	embryo.all
AT3G20240	-0.16190	-0.16190	-0.16190	-0.32857	-0.16190	embryo.all
AT1G75430	-0.11290	-0.11290	-0.11290	-0.36290	-0.27957	embryo.all
AT3G14350	-0.15581	-0.43071	-0.36404	-0.06203	0.03065	embryo.all
AT5G22840	-0.15116	-0.20672	-0.15116	-0.15517	-0.31783	embryo.all
AT4G11060	-0.12745	-0.46667	-0.13333	-0.12745	-0.12745	embryo.all
AT4G22670	-0.46667	-0.10000	-0.14912	-0.13333	-0.13333	embryo.all
AT3G54750	-0.33333	-0.12500	-0.30000	0.01190	-0.23645	embryo.all
AT1G77370	-0.20000	-0.13462	-0.25000	-0.20000	-0.20000	embryo.all
AT4G28450	-0.25556	-0.15556	0.00000	-0.42222	-0.15556	embryo.all
AT3G50890	-0.16310	-0.30556	-0.11765	-0.38889	-0.01765	embryo.all
AT5G09590	-0.22051	-0.22278	-0.32278	-0.07278	-0.15612	embryo.all
AT1G07080	-0.26667	-0.26667	-0.10000	-0.10000	-0.26667	embryo.all
AT1G80750	-0.33333	-0.16667	-0.16667	-0.16667	-0.16667	embryo.all
AT4G39090	-0.20588	-0.03333	-0.20000	-0.36667	-0.20000	embryo.all
AT5G50740	-0.30000	-0.08571	-0.01634	-0.30556	-0.30000	embryo.all
AT5G10740	-0.31746	-0.14063	-0.26129	-0.14063	-0.15079	embryo.all
AT5G46680	-0.15060	-0.40060	-0.15060	-0.15060	-0.15854	embryo.all
AT1G15510	-0.09341	-0.34341	-0.26007	-0.09341	-0.22105	embryo.all
AT4G39790	-0.28464	0.00872	-0.12963	-0.28464	-0.32500	embryo.all
AT1G53035	-0.20588	-0.20588	-0.20588	-0.20588	-0.20588	embryo.all
AT4G33990	-0.36508	-0.24844	0.01913	0.01823	-0.45354	embryo.all
AT1G70750	-0.20721	-0.25850	-0.14422	-0.21088	-0.21088	embryo.all
AT1G09800	-0.05357	-0.23415	-0.23415	-0.30952	-0.20557	embryo.all
AT5G08020	-0.44048	0.00000	-0.02165	-0.29048	-0.29048	embryo.all
AT5G14770	-0.36706	-0.15860	-0.06336	-0.15873	-0.29600	embryo.all
AT1G29340	-0.16798	-0.12442	-0.17204	-0.41143	-0.16798	embryo.all
AT3G58730	-0.12644	-0.29310	-0.29310	-0.04310	-0.29310	embryo.all
AT3G13330	0.02564	-0.34313	-0.20889	-0.32230	-0.20108	embryo.all
AT3G21660	-0.27222	-0.20556	-0.10802	-0.20556	-0.26111	embryo.all
AT5G12900	-0.09524	-0.09140	-0.42857	-0.42857	-0.00980	embryo.all
AT3G02000	-0.27778	-0.27778	-0.11111	-0.27778	-0.11111	embryo.all
AT5G36250	-0.11111	-0.27778	-0.27778	-0.27778	-0.11111	embryo.all
AT5G38730	-0.15854	-0.19975	-0.19975	-0.21409	-0.28629	embryo.all
AT4G34950	-0.07843	-0.24510	-0.24510	-0.24510	-0.24510	embryo.all
AT5G66750	-0.27949	-0.27089	-0.33755	0.00844	-0.17949	embryo.all
AT3G56120	-0.22597	-0.25455	-0.09259	-0.33333	-0.15455	embryo.all
AT1G73690	-0.42051	-0.05439	-0.08333	-0.25385	-0.25385	embryo.all
AT2G28600	-0.21289	-0.29622	-0.30085	-0.05085	-0.21289	embryo.all
AT5G52860	-0.18660	-0.17842	-0.19889	-0.37912	-0.13522	embryo.all
AT1G71850	-0.13291	-0.38291	-0.13380	-0.29958	-0.13291	embryo.all
AT1G13690	-0.41667	-0.08333	-0.25000	-0.08333	-0.25000	embryo.all
AT1G04660	-0.27419	-0.27419	-0.27419	0.01087	-0.27419	embryo.all
AT2G18330	-0.38082	-0.11416	-0.03082	-0.28082	-0.28082	embryo.all
AT5G46690	-0.38462	-0.13462	-0.03462	-0.30128	-0.23462	embryo.all
AT3G15000	-0.06338	-0.06944	-0.31944	-0.31944	-0.31944	embryo.all
AT2G22870	-0.11111	-0.13333	-0.30000	-0.27778	-0.27778	embryo.all
AT1G67630	-0.29020	-0.22353	-0.11905	-0.34524	-0.12353	embryo.all
AT1G77710	-0.21429	-0.25000	-0.21429	-0.21429	-0.21429	embryo.all
AT2G43080	-0.22222	-0.22222	-0.22222	-0.22222	-0.22222	embryo.all
AT5G53070	-0.26923	-0.10256	-0.01923	-0.27778	-0.44444	embryo.all
AT5G47170	-0.35606	-0.10606	-0.10606	-0.27273	-0.27273	embryo.all
AT5G17490	-0.29032	-0.29032	-0.15556	-0.21538	-0.16937	embryo.all
AT1G08610	-0.22036	-0.31930	-0.14894	-0.30303	-0.13636	embryo.all
AT3G03810	-0.18954	-0.24510	-0.18954	-0.31653	-0.18954	embryo.all
AT5G49030	-0.33810	-0.17143	-0.16906	-0.38571	-0.06906	embryo.all
AT1G05840	-0.01333	-0.18000	-0.38095	-0.18000	-0.38095	embryo.all
AT3G19300	-0.20000	-0.40000	-0.26667	0.07843	-0.35000	embryo.all
AT1G10490	-0.28739	-0.31611	-0.14468	-0.25000	-0.14737	embryo.all
AT3G03130	-0.22481	-0.15814	-0.31471	-0.22481	-0.22481	embryo.all
AT3G47370	-0.17857	-0.26190	-0.26437	-0.26437	-0.17857	embryo.all
AT2G01770	-0.32444	-0.08000	-0.31319	-0.25500	-0.17949	embryo.all
AT4G26230	-0.26471	-0.26471	-0.26471	-0.26471	-0.09804	embryo.all
AT1G06980	-0.29825	-0.13158	-0.29825	-0.13158	-0.29825	embryo.all
AT3G12170	-0.38095	-0.36111	-0.02778	-0.19444	-0.19444	embryo.all
AT5G43830	-0.18577	-0.28788	-0.28986	-0.21667	-0.18577	embryo.all
AT4G15770	-0.23333	-0.40000	-0.15000	-0.23333	-0.15000	embryo.all
AT2G34640	-0.16667	-0.16667	-0.16667	-0.33333	-0.33333	embryo.all
AT5G61865	-0.33333	-0.33333	-0.16667	-0.16667	-0.16667	embryo.all
AT2G28610	-0.29825	-0.29825	-0.13158	-0.13158	-0.31532	embryo.all
AT1G80080	-0.25000	-0.33333	-0.26190	-0.25000	-0.08333	embryo.all
AT3G11050	-0.17544	-0.27961	-0.24510	-0.19925	-0.27961	embryo.all
AT2G40420	-0.27807	-0.32353	-0.26797	-0.00769	-0.30769	embryo.all
AT1G05470	-0.16940	-0.16940	-0.33871	-0.17204	-0.33871	embryo.all
AT5G19370	-0.23810	-0.32143	-0.23810	-0.07143	-0.32143	embryo.all
AT2G01600	-0.22368	-0.15830	-0.18056	-0.39744	-0.23077	embryo.all
AT2G03120	-0.37097	-0.06667	-0.37097	-0.26667	-0.11667	embryo.all
AT1G72730	-0.10366	-0.19048	-0.35714	-0.35714	-0.18699	embryo.all
AT3G13860	-0.10884	-0.44218	-0.09486	-0.27551	-0.27551	embryo.all
AT5G66800	-0.27273	-0.10606	-0.27273	-0.27273	-0.27273	embryo.all
AT1G04730	-0.28947	-0.29305	-0.28947	-0.03947	-0.28642	embryo.all
AT4G39840	-0.04167	-0.37500	-0.20213	-0.20833	-0.37500	embryo.all
AT5G64530	-0.02941	-0.31818	-0.31818	-0.21818	-0.31818	embryo.all
AT1G04150	-0.22500	-0.22500	-0.30833	-0.22039	-0.22500	embryo.all
AT5G49100	-0.40000	0.10000	-0.14103	-0.45000	-0.31667	embryo.all
AT5G52910	-0.41295	-0.32962	-0.01686	-0.32962	-0.12074	embryo.all
AT2G26730	-0.14777	-0.21633	-0.14777	-0.48485	-0.21633	embryo.all
AT5G57990	-0.28039	-0.19468	-0.22805	-0.23039	-0.28039	embryo.all
AT3G61790	-0.24286	-0.24286	-0.24286	-0.07619	-0.40952	embryo.all
AT3G51050	-0.18750	-0.36000	-0.10714	-0.28571	-0.28571	embryo.all
AT3G20670	-0.13750	-0.27083	-0.27083	-0.44444	-0.10417	embryo.all
AT3G22845	-0.14286	-0.22989	-0.22989	-0.22989	-0.39655	embryo.all
AT1G10910	-0.35000	-0.20000	-0.19524	-0.39302	-0.10000	embryo.all
AT1G23190	-0.16432	-0.08099	-0.33099	-0.49765	-0.16432	embryo.all
AT3G49320	-0.23585	-0.14074	-0.13077	-0.24074	-0.49074	embryo.all
AT5G16790	-0.25000	-0.41667	-0.07619	-0.25000	-0.25000	embryo.all
AT1G74690	-0.22222	-0.22222	-0.22222	-0.35556	-0.22222	embryo.all
AT5G50310	-0.22603	-0.05936	-0.39269	-0.16468	-0.40278	embryo.all
AT1G54290	-0.38889	-0.25714	-0.10714	-0.10714	-0.38889	embryo.all
AT2G45860	-0.25000	-0.25000	-0.25000	-0.25000	-0.25000	embryo.all
AT5G51570	-0.30000	-0.05000	-0.30000	-0.30000	-0.30000	embryo.all
AT1G48050	-0.14130	-0.36264	-0.30797	-0.30797	-0.13736	embryo.all
AT4G30720	-0.25362	-0.25362	-0.25362	-0.25362	-0.25362	embryo.all
AT4G25730	-0.26038	-0.26038	-0.32704	-0.16038	-0.26038	embryo.all
AT5G58650	-0.27778	-0.36111	-0.27778	-0.07895	-0.27778	embryo.all
AT1G35510	-0.12281	-0.15030	-0.25184	-0.36090	-0.38947	embryo.all
