gene	lnL	t	S	N	dN/dS	dN	dS	NG.dNdS	NG.dN	NG.dS
AT1G68500	-423.217912	0.1282	74.6	210.4	0.2552	0.0242	0.0949	0.2124	0.0226	0.1064
AT1G68510	-999.936583	0.0403	220.7	478.3	0.2232	0.0064	0.0287	0.1539	0.0057	0.0368
AT1G68520	-1805.915335	0.103	293.2	909.8	0.2794	0.0211	0.0755	0.2696	0.0211	0.0784
AT1G68530	-2127.053084	0.0461	402.2	1088.8	0.0353	0.0018	0.052	0.0309	0.0018	0.0567
AT1G68540	-1366.024849	0.0583	206.4	753.6	0.0526	0.004	0.0758	0.0623	0.0041	0.0655
AT1G68550	-1328.112329	0.0406	193.8	781.2	0.0445	0.0026	0.0577	0.0589	0.0027	0.0455
AT1G68560	-4005.107198	0.0726	728	2017	0.0733	0.0056	0.0758	0.0653	0.0054	0.0826
AT1G68570	-2576.337591	0.05	523.4	1264.6	0.1059	0.0048	0.0453	0.0826	0.0044	0.0535
AT1G68580	-2734.218172	0.0419	387.3	1559.7	0.1712	0.0071	0.0415	0.2118	0.0073	0.0347
AT1G68590	-834.139649	0.2863	116.4	369.6	0.4023	0.0704	0.1749	0.4956	0.0744	0.1501
AT1G68610	-701.585524	0.0526	122	358	0.2998	0.011	0.0367	0.278	0.0108	0.0387
AT1G68630	-580.946868	0.0328	94.5	313.5	0.0845	0.0031	0.0369	0.0998	0.0032	0.0321
AT1G68650	-991.694787	0.0773	195.6	494.4	0.024	0.0021	0.0857	0.0199	0.0019	0.0961
AT1G68660	-704.709893	0.0902	146.6	330.4	0.0722	0.0061	0.0842	0.0531	0.0055	0.1039
AT1G68680	-322.941598	0.0415	55.3	169.7	0.5771	0.0117	0.0203	0.6585	0.0119	0.0181
AT1G68700	-710.447818	0.1912	106.1	340.9	0.401	0.0471	0.1173	0.3738	0.046	0.123
AT1G68710	-5187.22409	0.0659	918.4	2681.6	0.0828	0.0057	0.0693	0.0793	0.0058	0.0729
AT1G68720	-5073.66664	0.1003	816.3	2573.7	0.3423	0.0229	0.0668	0.3444	0.0227	0.0658
AT1G68730	-776.136808	0.126	111.4	395.6	0.2165	0.0234	0.1081	0.2468	0.0237	0.0962
AT1G68750	-4493.575961	0.0784	714.9	2381.1	0.0426	0.0042	0.0991	0.0466	0.0042	0.091
AT1G68765	-326.450863	0.3439	47.8	141.2	0.9046	0.1117	0.1235	0.8837	0.1046	0.1184
AT1G68780	-1930.636005	0.0834	349.3	940.7	0.379	0.0193	0.0508	0.3022	0.018	0.0595
AT1G68790	-4516.06522	0.0601	681.4	2567.6	0.4039	0.0153	0.0379	0.4	0.0152	0.038
AT1G68795	-531.652238	0.0787	78.2	284.8	0.2014	0.0142	0.0703	0.2386	0.0145	0.061
AT1G68800	-1548.933836	0.0732	248.3	804.7	0.8891	0.0237	0.0266	0.8654	0.0233	0.027
AT1G68810	-1490.088865	0.0751	249.1	755.9	0.3556	0.0173	0.0486	0.3511	0.0171	0.0486
AT1G68820	-1764.640793	0.0846	337.9	871.1	0.0684	0.0059	0.0858	0.0644	0.006	0.0925
AT1G68830	-2360.832936	0.0556	375.3	1259.7	0.1263	0.0072	0.0567	0.1438	0.0073	0.0505
AT1G68870	-594.792277	0.0508	143.1	300.9	0.1768	0.0068	0.0383	0.0955	0.0056	0.059
AT1G68875	-688.157902	0.0884	109.5	349.5	0.3473	0.0204	0.0586	0.3398	0.0201	0.0591
AT1G68880	-602.62444	0.1199	93.2	296.8	0.4461	0.0308	0.0691	0.4282	0.0305	0.0711
AT1G68890	-6036.516166	0.0583	985.2	3172.8	0.5896	0.0167	0.0283	0.6437	0.0168	0.0261
AT1G68905	-573.955984	0.9936	60.5	200.5	0.6441	0.2936	0.4558	0.7505	0.2986	0.3979
AT1G68907	-402.659791	0.0698	69	210	0.1446	0.0094	0.0654	0.1258	0.0091	0.0724
AT1G68910	-2700.359295	0.0698	376.3	1507.7	0.2158	0.0135	0.0625	0.2554	0.0138	0.054
AT1G68920	-1595.559837	0.0846	256.3	832.7	0.2325	0.0159	0.0683	0.2382	0.0157	0.066
AT1G68930	-3265.608814	0.0814	489.5	1730.5	0.1665	0.0129	0.0775	0.1864	0.0132	0.0707
AT1G68940	-4296.021164	0.0243	765.4	2330.6	0.2576	0.0047	0.0183	0.2465	0.0046	0.0187
AT1G68960	-2367.295152	1.0393	262.5	829.5	0.2947	0.2199	0.7462	0.3337	0.2225	0.6669
AT1G68980	-1831.65686	0.127	300.2	905.8	0.3101	0.0273	0.0879	0.2689	0.026	0.0965
AT1G68990	-4306.140378	0.0797	691.6	2233.4	0.3654	0.0188	0.0516	0.364	0.0185	0.051
AT1G69010	-1086.796294	0.0578	164.2	600.8	0.2036	0.0105	0.0515	0.2447	0.011	0.0451
AT1G69020	-3198.146632	0.1199	502.6	1585.4	0.2939	0.0253	0.0862	0.2981	0.025	0.084
AT1G69030	-1316.403276	0.0371	224.2	735.8	0.0616	0.0027	0.044	0.0653	0.0027	0.0416
AT1G69040	-1997.498817	0.0807	351.8	1013.2	0.0834	0.007	0.0842	0.0808	0.0072	0.0889
AT1G69050	-423.388603	0.118	85.8	196.2	0.1611	0.0152	0.0944	0.1453	0.0146	0.1005
AT1G69060	-2543.185053	0.0607	406.4	1372.6	0.1895	0.0102	0.054	0.1896	0.0101	0.0534
AT1G69070	-3793.242112	0.0517	797.2	1902.8	0.1005	0.0047	0.0471	0.0648	0.0042	0.0655
AT1G69080	-965.551447	0.0515	180.5	488.5	0.1997	0.0082	0.0413	0.1769	0.0079	0.0448
AT1G69120	-909.004859	0.029	164.1	504.9	0.001	0	0.0392	-1	0	0.045
AT1G69160	-1349.433886	0.0354	246.8	713.2	0.275	0.007	0.0255	0.2364	0.0067	0.0285
AT1G69170	-1845.900139	0.0942	283.5	940.5	0.5431	0.0263	0.0484	0.5647	0.0263	0.0466
AT1G69180	-772.686237	0.0491	171	372	0.001	0.0001	0.0519	-1	0	0.0651
AT1G69190	-2295.856987	0.1951	319.7	1132.3	0.2746	0.0411	0.1497	0.3292	0.0423	0.1285
AT1G69200	-2540.451576	0.102	417.9	1292.1	0.1246	0.0125	0.1004	0.1231	0.0125	0.1018
AT1G69230	-469.640989	0.0565	101.7	228.3	0.8637	0.018	0.0208	0.6942	0.0165	0.0238
AT1G69250	-1634.630272	0.0376	256.5	913.5	0.2579	0.0077	0.0298	0.2901	0.0078	0.0268
AT1G69290	-1763.201616	0.0784	243.5	983.5	0.152	0.0124	0.0816	0.2277	0.0138	0.0605
AT1G69310	-825.251477	0.1047	160.5	388.5	0.3061	0.021	0.0686	0.2395	0.0194	0.0809
AT1G69325	-522.616987	0.1119	99.2	260.8	1.3259	0.04	0.0302	0.8953	0.0361	0.0403
AT1G69340	-2362.177139	0.0357	443.5	1242.5	0.0398	0.0016	0.0407	0.0368	0.0016	0.0426
AT1G69350	-3486.758032	0.0761	620.5	1746.5	0.3132	0.0161	0.0514	0.2754	0.0155	0.0564
AT1G69360	-4027.556097	0.09	613.1	2068.9	1.0822	0.0305	0.0282	1.1571	0.0306	0.0265
AT1G69370	-1126.400451	0.0528	191.6	591.4	0.1337	0.0068	0.0509	0.1241	0.0066	0.0532
AT1G69380	-1571.801448	0.0429	296.4	822.6	0.0521	0.0025	0.0471	0.0443	0.0023	0.0524
AT1G69390	-1037.566382	0.1128	177.6	503.4	0.2318	0.0202	0.087	0.2031	0.0193	0.0951
AT1G69400	-1419.456451	0.118	237.5	707.5	0.1254	0.0143	0.1139	0.1189	0.0139	0.1173
AT1G69410	-634.576449	0.0203	152.8	321.2	0.001	0	0.0209	-1	0	0.0286
AT1G69420	-2622.520969	0.0796	451.8	1324.2	0.0933	0.0076	0.0819	0.0941	0.0078	0.0825
AT1G69430	-1487.65171	0.0813	273.4	767.6	0.0431	0.004	0.0921	0.0407	0.0038	0.0946
AT1G69440	-4477.028498	0.1037	780.5	2186.5	0.1647	0.0148	0.0899	0.1385	0.014	0.1013
AT1G69450	-3118.605247	0.0825	572.8	1560.2	0.0493	0.0044	0.0903	0.0453	0.0043	0.0952
AT1G69460	-961.200644	0.1193	130.2	511.8	0.0624	0.0098	0.1575	0.0825	0.0109	0.1327
AT1G69470	-629.049504	0.0975	115.5	301.5	0.8372	0.0308	0.0368	0.7037	0.0289	0.0411
AT1G69490	-1183.952818	0.0827	213.3	596.7	0.0551	0.005	0.0906	0.0454	0.0047	0.1043
AT1G69500	-2294.772769	0.1	397.6	1159.4	0.0812	0.0086	0.1055	0.0738	0.0083	0.1124
AT1G69510	-623.117703	0.1077	106.7	316.3	0.1667	0.0159	0.0953	0.1451	0.0153	0.1051
AT1G69530	-1067.78233	0.0514	213.4	530.6	0.1267	0.0058	0.0454	0.1058	0.0054	0.0508
AT1G69540	-1555.154956	0.1059	230.1	801.9	0.2676	0.0219	0.0819	0.2782	0.0219	0.0787
AT1G69560	-1348.153785	0.1229	203	679	0.2129	0.0221	0.1039	0.2041	0.0217	0.1064
AT1G69588	-552.469663	0.1823	80.9	270.1	0.1524	0.0266	0.1747	0.1651	0.0278	0.1684
AT1G69600	-966.947639	0.0677	161.8	498.2	0.1651	0.0101	0.061	0.1671	0.01	0.0598
AT1G69620	-508.170335	0.0421	93.2	266.8	0.001	0.0001	0.054	-1	0	0.0578
AT1G69630	-2068.490546	0.2021	267.8	1016.2	0.3023	0.0455	0.1504	0.3836	0.0475	0.1238
AT1G69640	-1139.534839	0.0944	206.9	567.1	0.072	0.0071	0.0983	0.0623	0.0067	0.1084
AT1G69650	-1491.890358	0.4272	190.8	622.2	0.5542	0.1198	0.2161	0.574	0.1183	0.2061
AT1G69680	-857.919668	0.0528	168.6	437.4	0.0915	0.0047	0.0511	0.0766	0.0044	0.0569
AT1G69690	-1157.426418	0.0308	185.2	651.8	0.0373	0.0015	0.041	0.0446	0.0016	0.0354
AT1G69700	-781.889415	0.055	146.9	405.1	0.0395	0.0025	0.0621	0.0325	0.0023	0.071
AT1G69710	-4384.323288	0.0391	767.3	2313.7	0.3368	0.0087	0.026	0.3283	0.0086	0.0262
AT1G69720	-1321.923789	0.1446	195.1	659.9	0.1736	0.0231	0.1331	0.1723	0.0229	0.1327
AT1G69740	-1862.780905	0.0653	352	938	0.0823	0.0054	0.0654	0.0847	0.0057	0.0671
AT1G69760	-773.139134	0.0563	163.2	388.8	0.4761	0.0142	0.0298	0.3483	0.013	0.0372
AT1G69770	-3616.75381	0.0587	554.8	1959.2	0.1541	0.0088	0.0574	0.1727	0.009	0.0523
AT1G69780	-1264.535987	0.0718	195.5	683.5	0.0664	0.0058	0.0873	0.069	0.0058	0.0842
AT1G69800	-1773.026576	0.1038	295.4	898.6	0.0686	0.0079	0.1157	0.0883	0.0094	0.1068
AT1G69810	-1203.894959	0.132	161.4	630.6	0.3138	0.0304	0.097	0.3569	0.031	0.087
AT1G69825	-301.275802	0.0444	36.6	182.4	0.0877	0.0054	0.0615	0.135	0.0059	0.0433
AT1G69828	-312.461602	0.0743	37.6	181.4	0.1226	0.0111	0.0907	0.1882	0.0119	0.0632
AT1G69830	-3683.005766	0.0258	652.3	1993.7	0.2171	0.0046	0.021	0.199	0.0044	0.0221
AT1G69840	-1206.64438	0.0584	201.2	656.8	0.001	0.0001	0.0828	-1	0	0.079
AT1G69850	-2594.892095	0.1245	476.4	1203.6	0.2124	0.0202	0.0953	0.2281	0.0217	0.0951
AT1G69860	-2244.03748	0.0755	459.7	1076.3	0.1337	0.0086	0.064	0.0961	0.0077	0.0798
AT1G69870	-2002.538884	0.0549	383.1	990.9	0.2589	0.0102	0.0393	0.2245	0.0097	0.0431
AT1G69880	-639.596104	0.0557	128.9	315.1	0.6856	0.0164	0.0239	0.4616	0.0146	0.0315
AT1G69900	-1147.076743	0.0442	189.7	614.3	0.1039	0.0049	0.0467	0.1149	0.0049	0.0428
AT1G69930	-681.151429	0.0969	103	362	0.0422	0.0054	0.1271	0.0537	0.0056	0.1035
AT1G69940	-1511.388365	0.0327	289.9	793.1	0.001	0	0.0406	-1	0	0.0441
AT1G69970	-575.510614	0.4549	73.4	232.6	0.6118	0.1316	0.2151	0.6529	0.1319	0.202
AT1G70000	-756.934117	0.0411	148.8	379.2	0.2821	0.008	0.0283	0.2421	0.0076	0.0313
AT1G70020	-1188.657097	0.3477	151.5	514.5	0.5901	0.1001	0.1696	0.6658	0.1003	0.1507
AT1G70030	-636.004262	0.0125	130.4	349.6	99	0.0057	0.0001	-1	0.0053	0
AT1G70040	-913.487399	0.5126	129.5	374.5	0.2382	0.0938	0.3937	0.2368	0.0907	0.3828
AT1G70070	-5094.862041	0.0648	842.8	2682.2	0.0773	0.0056	0.0725	0.0791	0.0056	0.0703
AT1G70090	-1709.709697	0.0841	304.9	847.1	0.1189	0.0095	0.0796	0.1051	0.0091	0.0867
AT1G70100	-2238.095074	0.2697	327.3	1016.7	0.5477	0.0748	0.1367	0.5266	0.0725	0.1376
AT1G70120	-999.658064	0.73	114.4	380.6	0.4508	0.1899	0.4211	0.4688	0.1844	0.3934
AT1G70150	-1712.702014	0.3286	225.5	746.5	0.4605	0.0861	0.187	0.5132	0.0865	0.1686
AT1G70160	-1941.734861	0.1564	266.3	966.7	0.2597	0.0323	0.1242	0.3501	0.035	0.0999
AT1G70180	-1927.980979	0.0665	338.2	984.8	0.3625	0.0153	0.0422	0.3712	0.0152	0.0409
AT1G70190	-858.362572	0.0512	151.7	457.3	0.1376	0.0067	0.0485	0.128	0.0065	0.0505
AT1G70200	-2349.127065	0.1044	335.7	1263.3	0.2637	0.0219	0.0832	0.2881	0.0221	0.0766
AT1G70210	-1532.258963	0.0914	265.8	760.2	0.2178	0.0158	0.0725	0.2059	0.0154	0.0748
AT1G70220	-702.926575	0.2674	103	311	0.6812	0.0798	0.1172	0.6649	0.078	0.1173
AT1G70230	-1350.967387	0.128	215.5	657.5	0.284	0.0263	0.0926	0.2614	0.0256	0.0978
AT1G70260	-1655.386511	0.0717	306.6	818.4	0.2567	0.0134	0.0521	0.2292	0.0128	0.0559
AT1G70270	-374.776337	0.0951	53.4	204.6	99	0.0399	0.0004	-1	0.041	0
AT1G70280	-2218.314862	0.0837	352.2	1156.8	0.0966	0.0088	0.0908	0.0987	0.0087	0.0879
AT1G70290	-3712.185977	0.0684	589.5	1978.5	0.0619	0.0051	0.0822	0.0693	0.0053	0.0767
AT1G70300	-3474.836901	0.0935	717.4	1631.6	0.0546	0.005	0.0908	0.0405	0.0045	0.1109
AT1G70310	-1489.339045	0.0874	286.2	733.8	0.0999	0.0083	0.0827	0.0815	0.0077	0.0945
AT1G70350	-442.639842	0.0497	96.8	218.2	0.1078	0.0047	0.0433	0.0961	0.0044	0.0462
AT1G70360	-826.790208	0.0839	131.1	429.9	0.5667	0.0237	0.0419	0.6366	0.0239	0.0376
AT1G70400	-719.784086	0.095	119.2	375.8	0.8612	0.0305	0.0354	0.8041	0.0293	0.0365
AT1G70410	-846.082588	0.0915	147.2	422.8	0.1838	0.0142	0.0773	0.1686	0.0137	0.0815
AT1G70420	-1144.244352	0.1303	196.7	565.3	0.1752	0.0196	0.1119	0.1512	0.0189	0.1252
AT1G70440	-1101.77599	0.0937	184.1	559.9	0.1798	0.0147	0.0816	0.1665	0.0142	0.0851
AT1G70480	-1444.261061	0.0997	241.6	718.4	0.2081	0.017	0.0816	0.1878	0.0164	0.0871
AT1G70500	-2080.391697	0.0988	358.7	1030.3	0.2133	0.0169	0.079	0.1872	0.0161	0.0859
AT1G70505	-1895.002163	0.4881	219.5	779.5	0.592	0.1413	0.2387	0.7245	0.1439	0.1986
AT1G70530	-2286.785411	0.1229	327.8	1163.2	0.2009	0.0219	0.1088	0.2326	0.0226	0.0972
AT1G70550	-1806.554559	0.0316	309.8	968.2	0.1919	0.0052	0.0271	0.1886	0.0051	0.0272
AT1G70560	-1633.509213	0.0239	303.6	872.4	0.1653	0.0035	0.0209	0.1434	0.0033	0.023
AT1G70570	-2698.041299	0.1966	399.2	1259.8	0.3167	0.0431	0.1362	0.4032	0.0464	0.115
AT1G70580	-2104.347298	0.0757	378.7	1061.3	0.0848	0.0066	0.0775	0.0781	0.0064	0.0816
AT1G70590	-1026.552976	0.0912	167.2	522.8	0.1668	0.0138	0.0825	0.1809	0.0142	0.0787
AT1G70610	-1991.750239	0.0738	336.2	1016.8	0.0898	0.007	0.0778	0.1046	0.0078	0.0747
AT1G70620	-2815.90285	0.1296	443.5	1404.5	0.5282	0.0356	0.0673	0.5806	0.0358	0.0616
AT1G70640	-820.719065	0.1355	160.2	370.8	0.1165	0.0137	0.1179	0.0915	0.0127	0.1388
AT1G70670	-874.90022	0.1102	105	480	0.0851	0.0125	0.1473	0.1412	0.0144	0.1023
AT1G70710	-1920.71092	0.0351	362.1	996.9	0.0246	0.001	0.0412	0.0222	0.001	0.0438
AT1G70750	-3285.671897	0.0918	546.2	1694.8	0.34	0.0208	0.0611	0.3073	0.0201	0.0655
AT1G70760	-814.249305	0.034	147.6	425.4	0.1498	0.0046	0.0308	0.1441	0.0045	0.0314
AT1G70770	-2629.54757	0.0474	459.6	1388.4	0.1505	0.0066	0.0437	0.1491	0.0065	0.0434
AT1G70780	-601.481262	0.0621	83.4	336.6	0.1319	0.009	0.068	0.1714	0.0093	0.0543
AT1G70782	-206.635943	0.0201	30.4	119.6	99	0.0084	0.0001	-1	0.0089	0
AT1G70790	-775.290637	0.0404	133.8	421.2	0.001	0.0001	0.0556	-1	0	0.0595
AT1G70800	-751.719954	0.0665	133.5	388.5	0.1862	0.0105	0.0562	0.1814	0.011	0.0608
AT1G70810	-737.807757	0.1023	136.5	358.5	0.218	0.0171	0.0786	0.1667	0.0158	0.095
AT1G70820	-2115.306065	0.0857	371.3	1053.7	0.2302	0.0153	0.0663	0.2257	0.015	0.0664
AT1G70840	-686.834517	0.091	105.3	362.7	0.1151	0.0111	0.0965	0.1187	0.011	0.093
AT1G70910	-782.574672	0.1246	134.1	372.9	0.7768	0.0386	0.0497	0.6237	0.0359	0.0576
AT1G70920	-919.655573	0.0758	157.8	463.2	0.1612	0.0109	0.0675	0.1519	0.0107	0.0703
AT1G70949	-421.68542	1.3648	37.8	148.2	0.4341	0.3597	0.8287	0.7327	0.3802	0.5189
AT1G70950	-1805.82914	0.0667	274	983	0.3354	0.0155	0.0463	0.3496	0.0155	0.0443
AT1G70985	-504.645395	0.0615	115.5	235.5	1.2657	0.022	0.0174	0.8545	0.0194	0.0227
AT1G71000	-642.564763	0.0874	110.7	327.3	0.2236	0.0155	0.0694	0.1784	0.0145	0.0815
AT1G71010	-7162.554054	0.0585	1187.1	3765.9	0.0992	0.0061	0.0619	0.0976	0.0061	0.0621
AT1G71015	-879.254668	0.1231	110.5	480.5	0.046	0.0084	0.1829	0.0613	0.0087	0.1427
AT1G71020	-2818.966902	0.0803	512.5	1386.5	0.132	0.0096	0.0731	0.1226	0.0095	0.0775
AT1G71030	-921.164424	0.1425	148.1	442.9	0.2228	0.0253	0.1138	0.2114	0.0247	0.1169
AT1G71050	-630.000595	0.0274	119.5	336.5	0.1131	0.003	0.0264	0.0963	0.0028	0.0295
AT1G71060	-2261.885598	0.0934	353	1183	0.1519	0.0136	0.0898	0.1498	0.0134	0.0895
AT1G71070	-1687.147692	0.0428	294.5	890.5	0.1399	0.0056	0.0403	0.1362	0.0055	0.0406
AT1G71080	-1463.125779	0.117	255.6	725.4	0.1439	0.0153	0.1063	0.1226	0.0146	0.1188
AT1G71090	-2005.118113	0.0827	399.9	971.1	0.1749	0.0116	0.0663	0.1448	0.0107	0.0742
AT1G71100	-947.006661	0.0911	198.7	440.3	0.2056	0.0138	0.0671	0.1636	0.0127	0.0777
AT1G71110	-2484.64113	0.0829	446.1	1224.9	0.2405	0.015	0.0624	0.2171	0.0144	0.0664
AT1G71120	-1637.368292	0.1284	251.7	816.3	0.1386	0.0174	0.1253	0.1536	0.0179	0.1163
AT1G71130	-685.616247	0.0986	115.7	343.3	0.085	0.0089	0.1042	0.0837	0.0087	0.1042
AT1G71140	-1661.153397	0.1792	307.5	745.5	0.2122	0.0287	0.1351	0.1816	0.027	0.1484
AT1G71160	-1935.77822	0.0327	334.7	1036.3	0.0809	0.0029	0.0357	0.0786	0.0028	0.0361
AT1G71190	-1195.803094	0.0679	196.6	631.4	0.1129	0.0079	0.07	0.1203	0.0079	0.0656
AT1G71200	-1039.653873	0.1026	149	547	0.0767	0.0096	0.1246	0.0935	0.0103	0.1106
AT1G71210	-3834.068273	0.0819	680.4	1923.6	0.1503	0.011	0.0733	0.1325	0.0105	0.0795
AT1G71220	-6673.607194	0.0194	1201.3	3643.7	0.1145	0.0022	0.0193	0.1088	0.0022	0.0198
AT1G71230	-1558.301758	0.082	284.4	786.6	0.076	0.0065	0.0851	0.0662	0.0061	0.0926
AT1G71240	-3493.884712	0.0375	599.6	1872.4	0.4032	0.0092	0.0228	0.411	0.0091	0.0222
AT1G71250	-1475.795649	0.0766	283.7	715.3	0.0752	0.0057	0.0756	0.0623	0.0053	0.0857
AT1G71260	-786.589267	0.0464	130.1	418.9	0.2767	0.0095	0.0345	0.2926	0.0095	0.0325
AT1G71270	-3026.744454	0.0671	557	1564	0.0418	0.0032	0.0763	0.0353	0.003	0.0859
AT1G71340	-1046.159845	0.0767	175.6	541.4	0.162	0.0113	0.0696	0.2134	0.0129	0.0607
AT1G71350	-2587.104504	0.0503	482.2	1326.8	0.2402	0.0091	0.0379	0.2158	0.0088	0.0406
AT1G71360	-2616.857229	0.083	413.3	1374.7	0.234	0.0158	0.0673	0.2434	0.0158	0.0648
AT1G71370	-2619.565932	0.1292	409.2	1264.8	0.8138	0.0408	0.0501	0.8386	0.0405	0.0483
AT1G71380	-2166.842606	0.0946	388.3	1063.7	0.0782	0.0076	0.0971	0.0705	0.0073	0.1036
AT1G71420	-3402.236199	0.1158	528	1692	0.191	0.0192	0.1007	0.2008	0.0195	0.0971
AT1G71430	-746.29958	0.1312	113.1	372.9	0.54	0.0365	0.0676	0.6585	0.038	0.0577
AT1G71460	-2866.150881	0.0456	461.6	1545.4	0.1706	0.0072	0.042	0.1824	0.0072	0.0394
AT1G71470	-549.097839	0.0557	88.7	301.3	0.6439	0.0165	0.0256	0.653	0.0164	0.0251
AT1G71490	-3076.279714	0.0942	518.3	1527.7	0.3357	0.0209	0.0623	0.3185	0.0204	0.064
AT1G71500	-823.735232	0.0444	135.8	449.2	0.0907	0.0044	0.049	0.1029	0.0045	0.0439
AT1G71680	-1722.289324	0.0316	369.5	857.5	0.1289	0.0035	0.0269	0.1085	0.0033	0.0301
AT1G71691	-1683.609807	0.0729	310.9	841.1	0.102	0.0072	0.0706	0.0889	0.0069	0.0771
AT1G71692	-847.775347	0.0049	205.3	430.7	0.001	0	0.0051	-1	0	0.0073
AT1G71695	-1545.200133	0.05	321.6	752.4	0.1684	0.0067	0.04	0.1276	0.0061	0.0482
AT1G71696	-2199.604098	0.0883	345.6	1127.4	0.118	0.0107	0.0906	0.12	0.0106	0.0885
AT1G71697	-1511.8248	0.0708	223.7	817.3	0.2257	0.0136	0.0602	0.2514	0.0137	0.0544
AT1G71720	-1812.257815	0.1095	308.4	915.6	0.1285	0.0135	0.1048	0.1099	0.0128	0.1165
AT1G71730	-770.043423	0.0868	131.7	381.3	0.238	0.0159	0.0667	0.2309	0.0156	0.0675
AT1G71740	-630.981682	0.175	102.1	290.9	0.2869	0.0354	0.1236	0.2604	0.034	0.1304
AT1G71750	-797.286414	0.0448	167.6	393.4	0.2418	0.0077	0.0319	0.1812	0.007	0.0388
AT1G71760	-1174.236952	0.1668	198.7	557.3	0.4209	0.0408	0.097	0.325	0.0377	0.1161
AT1G71780	-883.017792	0.1466	137.7	432.3	0.0936	0.0146	0.1563	0.1022	0.0152	0.1485
AT1G71790	-1121.572728	0.085	183.9	584.1	0.0316	0.0034	0.1076	0.0331	0.0034	0.1026
AT1G71800	-1975.719258	0.0623	360.9	1010.1	0.1693	0.0091	0.0536	0.1555	0.0087	0.0561
AT1G71810	-3027.068825	0.0701	571.9	1504.1	0.1128	0.0074	0.0654	0.1001	0.007	0.0703
AT1G71820	-3057.770658	0.021	572.4	1683.6	0.001	0	0.0276	-1	0	0.0297
AT1G71850	-1887.352725	0.0874	254.8	1029.2	0.152	0.0138	0.0909	0.1795	0.0141	0.0785
AT1G71865	-431.858807	0.081	76.3	220.7	0.0486	0.0045	0.0922	0.0503	0.0045	0.0886
AT1G71900	-1385.313758	0.1172	230.9	681.1	0.23	0.0211	0.0919	0.2645	0.0222	0.084
AT1G71910	-753.615008	0.084	106.3	412.7	0.0188	0.0024	0.1275	0.0216	0.0025	0.1142
AT1G71930	-1441.287678	0.0784	254.7	723.3	0.2268	0.0138	0.061	0.1844	0.0131	0.0709
AT1G71940	-1168.717472	0.0691	217.5	598.5	0.0205	0.0017	0.0818	0.0193	0.0016	0.0844
AT1G71950	-598.239304	0.1049	104.4	291.6	0.3801	0.0245	0.0643	0.3712	0.0238	0.0642
AT1G71960	-2251.359739	0.1483	395.6	1053.4	0.0742	0.0112	0.1512	0.0789	0.0121	0.1528
AT1G71980	-2021.235161	0.1023	389	955	0.1003	0.0095	0.0945	0.0858	0.009	0.1049
AT1G71990	-1427.497764	0.1054	261.3	686.7	0.191	0.0162	0.0849	0.1538	0.0152	0.0987
AT1G72020	-407.096871	0.0816	91.1	190.9	0.1771	0.0109	0.0615	0.1143	0.0093	0.0811
AT1G72030	-1100.675335	0.0363	219.5	548.5	0.3122	0.0074	0.0238	0.2474	0.0069	0.0278
AT1G72040	-2548.259254	0.0614	424.7	1333.3	0.1423	0.0083	0.0586	0.14	0.0082	0.0585
AT1G72050	-1691.03542	0.0646	238.8	937.2	0.2021	0.0119	0.0591	0.2544	0.013	0.051
AT1G72060	-375.943647	0.1189	59.9	186.1	0.2293	0.0218	0.095	0.2501	0.0219	0.0875
AT1G72090	-2640.757827	0.097	433.5	1327.5	0.2494	0.0186	0.0745	0.2438	0.0182	0.0745
AT1G72100	-1399.901879	0.1269	214.1	709.9	0.2471	0.0248	0.1003	0.2502	0.0245	0.0978
AT1G72110	-1971.371163	0.146	307.9	961.1	0.6269	0.0425	0.0678	0.6395	0.0419	0.0655
AT1G72125	-2455.902548	0.0622	459.4	1211.6	0.3358	0.0134	0.04	0.3187	0.0132	0.0414
AT1G72130	-2541.625348	0.4176	397.6	1012.4	0.2666	0.0784	0.294	0.229	0.0745	0.3255
AT1G72140	-2518.873244	0.0999	477.8	1187.2	0.2938	0.0197	0.0671	0.2471	0.0185	0.0749
AT1G72150	-1614.749599	0.0807	290.3	822.7	0.0255	0.0024	0.0961	0.0226	0.0023	0.1036
AT1G72160	-2076.754702	0.0695	338.3	1101.7	0.0677	0.0055	0.0808	0.0661	0.0054	0.0816
AT1G72170	-464.58518	0.1371	83.7	219.3	0.5632	0.0376	0.0668	0.5431	0.0364	0.0671
AT1G72175	-817.474225	0.0774	121.7	433.3	0.109	0.0092	0.0848	0.1347	0.0095	0.0709
AT1G72190	-1586.280293	0.0427	271.4	847.6	0.1476	0.0059	0.0402	0.1507	0.0059	0.0389
AT1G72220	-1968.751682	0.1264	315.9	956.1	0.4245	0.0315	0.0742	0.4239	0.0317	0.0747
AT1G72230	-766.787705	0.0465	168.2	374.8	0.1451	0.0055	0.0378	0.1098	0.0049	0.0451
AT1G72240	-507.064644	0.0573	112	248	0.3668	0.0124	0.0339	0.2356	0.0111	0.0471
AT1G72250	-5151.77014	0.0401	930.4	2702.6	0.2452	0.0075	0.0305	0.221	0.0072	0.0326
AT1G72280	-2001.519622	0.0406	322.2	1084.8	0.1362	0.0055	0.0405	0.1405	0.0055	0.0392
AT1G72310	-1395.743504	0.0494	224.4	744.6	0.2354	0.0094	0.0399	0.2509	0.0094	0.0374
